electrode_index,repetition_number,centroid_x_px,centroid_y_px,centroid_x_deg,centroid_y_deg,n_pixels,fill_ratio,dx_to_stim_px,dy_to_stim_px,distance_to_stim_px,dx_to_stim_deg,dy_to_stim_deg,distance_to_stim_deg
403,7,928.3139745916516,1206.497277676951,-7.68824727767695,-10.6353710425489,551,0.012818723245858924,33.31397459165157,-23.502722323049056,40.770073089063196,0.7282805001008275,-0.5137956241177669,0.8912790978081316
403,3,889.5318352059925,1227.8988764044943,-8.536067935913442,-11.10323377028714,534,0.3188059701492537,-5.468164794007521,-2.101123595505669,5.857947300720106,-0.11954015813566442,-0.04593289637952671,0.12806123682407566
403,5,898.9534313725491,1214.1299019607843,-8.33010137527233,-10.802228690087146,408,0.5411140583554377,3.953431372549062,-15.87009803921569,16.355110253121893,0.08642640250544754,-0.3469379765795208,0.3575408824779703
403,4,909.9714285714285,1217.8095238095239,-8.089235714285715,-10.882669312169313,525,0.5833333333333334,14.971428571428532,-12.190476190476147,19.306770398488517,0.32729206349206263,-0.26649735449735357,0.4220674528780684
403,6,933.6577946768061,1223.2110266159696,-7.571425433037599,-11.000752165188002,526,0.5850945494994438,38.657794676806134,-6.788973384030442,39.24939807032936,0.8451023447401785,-0.1484145014786655,0.8580354522597002
403,1,909.6492829204693,1218.9504563233377,-8.096278176155296,-10.907611364624076,767,0.16406417112299465,14.649282920469318,-11.049543676662324,18.349220843033702,0.32024960162248206,-0.24155530204259026,0.40113435565187566
403,9,920.4757131842714,1183.9344641480338,-7.859600381221623,-10.142122869013962,1297,0.0065845250968387175,25.4757131842714,-46.06553585196616,52.640721457594395,0.5569273965561553,-1.0070437976527047,1.150784660753522
403,10,889.0237676056338,1198.4551056338028,-8.54717485817684,-10.459560225938967,1136,0.021371058770411618,-5.976232394366207,-31.54489436619724,32.106007447298936,-0.13064708039906126,-0.6896064407277008,0.7018729961395628
403,8,887.2590233545648,1232.0106157112527,-8.585754128332153,-11.19312096013211,471,0.6246684350132626,-7.740976645435239,2.01061571125274,7.997830641087004,-0.16922635055437593,0.04395429346544184,0.17484146429265202
403,2,877.2153110047847,1224.6363636363637,-8.805320839978735,-11.031911616161619,418,0.6490683229813664,-17.784688995215333,-5.36363636363626,18.575891841250975,-0.38879306220095744,-0.11725505050504825,0.40608963552957
