electrode_index,repetition_number,dx_to_stim_px,dy_to_stim_px,distance_to_stim_px,dx_to_stim_deg,dy_to_stim_deg,distance_to_stim_deg,stim_x_px,stim_y_px
20,4,3.011904761904816,-1.5972222222221717,3.4092065238036313,0.06584358465608584,-0.0349170524691347,0.07452904261759605,1242.0,927.0
20,1,-136.4384787472036,-10.0,136.80445344670298,-2.9826967437235896,-0.21861111111111112,2.9906973572932016,1242.0,927.0
20,10,1.378787878787989,1.5429292929293297,2.0692237234460857,0.030141835016837426,0.03373014870931618,0.04523552973200193,1242.0,927.0
20,9,1.4990366088632072,-12.29865125240849,12.389670430769376,0.03277060586598178,-0.26886218154570785,0.2708519619170972,1242.0,927.0
20,3,4.306532663316602,-5.273869346733704,6.808812045183079,0.0941455890563935,-0.11529264377442848,0.14884819665441895,1242.0,927.0
20,7,-0.17811158798281213,-11.920600858369085,11.921931410737251,-0.0038937172150686986,-0.26059757987601306,0.2606266672291727,1242.0,927.0
20,6,-1.9867724867724519,-12.351851851851848,12.510615855516143,-0.043433054085831105,-0.2700252057613168,0.2734959632858668,1242.0,927.0
20,5,14.757142857142753,-8.628571428571377,17.094604710377997,0.3226075396825374,-0.1886301587301576,0.3737070529740968,1242.0,927.0
20,8,9.391191709844634,-6.466321243523339,11.402095954494323,0.20530188543465908,-0.1413609671848019,0.2492624865607509,1242.0,927.0
20,2,0.2985436893204678,-9.538834951456352,9.543505674832408,0.006526496763755783,-0.20852953074433747,0.20863163794703068,1242.0,927.0
24,8,3.780600461893755,-16.581986143187123,17.007504352647423,0.08264812676417736,-0.3625006415191185,0.3718029423759312,1266.0,946.0
24,1,5.715617715617782,10.170163170163164,11.6662121007132,0.1249497539497554,0.22233106708106695,0.25503635897948024,1266.0,946.0
24,7,1.9582504970178434,-13.22266401590457,13.366884030564798,0.042809531698695634,-0.2890621272365805,0.2922149370015138,1266.0,946.0
24,6,-3.6721698113208276,-12.681603773584925,13.202571923431414,-0.08027771226415253,-0.277233949161426,0.2886228917705701,1266.0,946.0
24,3,3.716049382715937,-0.39197530864203145,3.736665312463576,0.08123696844992896,-0.008569015775035521,0.08168765558080096,1266.0,946.0
24,9,0.9523809523809632,-18.65904761904767,18.683337162518548,0.020820105820106058,-0.40790751322751434,0.40843850963616934,1266.0,946.0
24,10,3.822869955156875,-6.067264573990997,7.171194747379775,0.08357218485301281,-0.1326371449925254,0.15677028517188565,1266.0,946.0
24,5,0.8909090909091901,-14.461363636363672,14.488780391441033,0.019476262626264795,-0.31614147727272807,0.3167408380017804,1266.0,946.0
24,4,2.589743589743648,-8.893772893772848,9.263151091644083,0.05661467236467364,-0.19442775742775642,0.20250277525344149,1266.0,946.0
24,2,-0.6351931330473235,-6.978540772532142,7.0073890736967055,-0.013886027658562323,-0.15255865522174433,0.15318931113886966,1266.0,946.0
3,7,3.7816764132553544,0.6920077972710033,3.8444702217673306,0.08267164825644345,0.015128059345896654,0.0840443906814136,1258.0,958.0
3,4,-22.927601809954695,-82.59502262443436,85.7182167750045,-0.5012228506787318,-1.8056189668174958,1.8738954611646816,1258.0,958.0
3,8,2.7821782178218655,-2.661386138613807,3.8501288049269418,0.060821507150716894,-0.05818085808580739,0.08416809359659731,1258.0,958.0
3,10,8.380597014925343,-8.159203980099505,11.69645313398242,0.18320916252072902,-0.1783692647871753,0.25569746156789347,1258.0,958.0
3,5,4.346049046321468,-5.1580381471389956,6.74488694051819,0.0950094610959721,-0.11276044504995526,0.14745072283855043,1258.0,958.0
3,9,-2.848605577689341,-15.111553784860575,15.377698512130378,-0.062273683045597536,-0.3303553563523687,0.3361735758068502,1258.0,958.0
3,3,4.524456521739239,-12.073369565217376,12.893291258457865,0.09890964673913281,-0.2639372735507243,0.281861672789065,1258.0,958.0
3,2,0.1897435897435571,5.56666666666672,5.569899497084946,0.004148005698004984,0.12169351851851969,0.12176419178349591,1258.0,958.0
3,6,-5.403990024937684,-14.725685785536143,15.68594689663226,-0.11813722637849883,-0.3219198531449151,0.3429122279902663,1258.0,958.0
3,1,-3.040865384615472,-21.444711538461547,21.659236257430187,-0.06647669604701047,-0.4688052216880344,0.4734949704054877,1258.0,958.0
123,8,-113.37165178571422,-62.09598214285711,129.26346129864876,-2.478430276537697,-1.3574871651785707,2.8258428900565717,1261.0,991.0
123,5,4.180400890868668,2.073496659242778,4.666384039517806,0.09138820836426784,0.04532894085622407,0.10201233997501426,1261.0,991.0
123,3,2.7417677642981744,-7.649913344887295,8.126405395845651,0.05993808973618509,-0.1672356056229528,0.1776522512925147,1261.0,991.0
123,1,2.322717622080745,-14.675159235668843,14.857836846060767,0.05077718801604295,-0.320815286624205,0.3248088221624951,1261.0,991.0
123,10,9.636103151862471,-12.008595988538673,15.396780883330157,0.21065592168099348,-0.2625212511938871,0.336590737643912,1261.0,991.0
123,4,6.484536082474278,-18.01030927835052,19.1421119134423,0.14175916380297937,-0.39372537227949606,0.41846783544108584,1261.0,991.0
123,7,5.4784810126582215,-12.311392405063316,13.475315846298646,0.1197656821378339,-0.2691407172995786,0.29458537697325093,1261.0,991.0
123,6,4.564954682779444,-1.3293051359516994,4.754562377369503,0.0997949815374284,-0.029060087277610763,0.1039400164163833,1261.0,991.0
123,9,2.669303797468274,-45.21044303797464,45.28917467180351,0.058353946905764766,-0.9883505186357234,0.9900716796308155,1261.0,991.0
123,2,-2.181034482758605,-9.090517241379303,9.348498014697144,-0.04767983716475062,-0.1987288074712642,0.20436855382129593,1261.0,991.0
103,9,8.889848812095124,-15.660907127429823,18.00814882090581,0.19434197264219064,-0.3423648308135353,0.39367814227924647,1260.0,1006.0
103,5,27.975609756097583,-286.0162601626016,287.38116816977845,0.6115779132791332,-6.252633242999097,6.282471648600435,1260.0,1006.0
103,4,-3.2488038277510896,1.9186602870813658,3.7730602444744084,-0.07102246145666966,0.04194404572036208,0.08248328923337109,1260.0,1006.0
103,3,6.242171189979217,-10.144050104384178,11.910770490831531,0.13646079795871233,-0.22176020644862077,0.26038267711901153,1260.0,1006.0
103,1,-0.7671568627451961,-16.55882352941171,16.576584881399906,-0.01677090141612415,-0.3619942810457505,0.362382563935048,1260.0,1006.0
103,7,6.579295154185047,-8.49339207048456,10.743595003017047,0.14383070239843423,-0.18567498776309305,0.2348669240937338,1260.0,1006.0
103,8,-3.1232876712329016,-14.906849315068484,15.230531257294777,-0.06827853881278594,-0.3258802891933027,0.3329563360969719,1260.0,1006.0
103,6,5.81679389312967,16.221374045801554,17.23276144815319,0.12716157760814029,0.3546172603901617,0.37672731276934895,1260.0,1006.0
103,10,-3.6529516994633013,-13.958855098390018,14.42891859345186,-0.0798575829854894,-0.305156082289804,0.3154321925846282,1260.0,1006.0
103,2,3.9867768595040616,-16.208264462809893,16.69138180690452,0.08715537190082491,-0.35433067033976073,0.36489215227871824,1260.0,1006.0
145,9,10.430894308943152,3.571815718157154,11.02548972194964,0.22803093947606282,0.07808386028304667,0.24102945586595464,1268.0,976.0
145,4,14.136842105263213,-27.05789473684206,30.528347028608806,0.30904707602339304,-0.5915156432748528,0.6673835864309758,1268.0,976.0
145,10,4.53556485355648,-11.32845188284523,12.202670634035668,0.0991524872152486,-0.24765254532775544,0.2667639385829464,1268.0,976.0
145,6,4.161538461538385,-9.707692307692355,10.562087497634764,0.09097585470085302,-0.2122209401709412,0.2308989683510711,1268.0,976.0
145,5,4.101449275362256,-6.255072463768101,7.479827383393251,0.08966223832528043,-0.136742834138486,0.16351733752029135,1268.0,976.0
145,8,-2.0833333333332575,-13.612499999999955,13.770999746851215,-0.045543981481479826,-0.297584374999999,0.3010493555769974,1268.0,976.0
145,3,-0.25661375661366037,-11.12169312169317,11.124653186198685,-0.005609861845970853,-0.24313256907701458,0.2431972793760657,1268.0,976.0
145,2,1.1812297734627464,-12.653721682847845,12.708736215874833,0.025822995325421705,-0.2766244156778126,0.27782709449704146,1268.0,976.0
145,7,1.5422222222223354,-13.757777777777733,13.843948091690867,0.03371469135802717,-0.30076030864197434,0.3026440874489087,1268.0,976.0
145,1,-1.6684636118598064,-6.654986522911031,6.860948654831031,-0.03647446840371299,-0.14548539982030503,0.14998796087088948,1268.0,976.0
108,3,-0.5581395348838214,-13.244186046511572,13.25594145185517,-0.012201550387599095,-0.28953262273901686,0.2897896089613894,1264.0,1021.0
108,7,-17.207762557077558,-4.600456621004582,17.8121108615039,-0.37618080923388997,-0.10057109335362796,0.3893925346667659,1264.0,1021.0
108,8,-1.7855787476280511,-5.851992409867194,6.11834182022582,-0.039034735399535454,-0.12793105629348558,0.13375375034771445,1264.0,1021.0
108,9,4.248459958932244,-14.271047227926033,14.890003391683491,0.09287605521332434,-0.31198094912160523,0.3255120185904141,1264.0,1021.0
108,5,2.0703883495145874,-9.155339805825292,9.38651984912059,0.045260989751888345,-0.20014590075512514,0.20519975336827515,1264.0,1021.0
108,2,8.19075144508679,-17.81502890173408,19.60774500050457,0.1790589274245362,-0.3894563262684645,0.4286470920943638,1264.0,1021.0
108,4,-0.4145199063232212,-9.627634660421563,9.6365541511107,-0.009061865729899308,-0.2104707910486603,0.21066578102567002,1264.0,1021.0
108,10,2.458695652173901,-4.054347826086996,4.741615822155481,0.05374981884057945,-0.0886325483091796,0.10365699033434342,1264.0,1021.0
108,1,9.153846153846189,-47.68875739644966,48.55935009270323,0.20011324786324863,-1.0425292241946078,1.0615613478599288,1264.0,1021.0
108,6,-4.0,-14.390557939914174,14.936135973605317,-0.08744444444444445,-0.314593586075346,0.3265205280896496,1264.0,1021.0
239,3,3.6896551724137225,12.692307692307736,13.217724079717108,0.08065996168582222,0.27746794871794966,0.28895413474270454,1273.0,916.0
