electrode_index,repetition_number,centroid_x_px,centroid_y_px,centroid_x_deg,centroid_y_deg,n_pixels,fill_ratio,dx_to_stim_px,dy_to_stim_px,distance_to_stim_px,dx_to_stim_deg,dy_to_stim_deg,distance_to_stim_deg
377,2,1252.7509025270758,891.2490974729242,-0.5956955475330924,-3.7436955475330924,831,0.39050751879699247,-9.249097472924177,6.249097472924177,11.162303673066763,-0.20219554753309243,0.1366122141997591,0.24402036085287618
377,4,1268.7619047619048,839.4739229024943,-0.2456772486772475,-2.6118327034517512,441,0.459375,6.761904761904816,-45.52607709750566,46.025504363310354,0.14782275132275252,-0.9952506298815822,1.0061686648312569
377,5,1267.961373390558,873.8197424892704,-0.2631777539341896,-3.3626704816404396,466,0.5043290043290043,5.9613733905580375,-11.180257510729575,12.670285344374786,0.13032224606581044,-0.24441285169289378,0.2769865157228599
377,8,1265.4862637362637,869.065934065934,-0.3172864010989017,-3.2587469474969466,364,0.5652173913043478,3.486263736263709,-15.934065934065984,16.310992981113976,0.0762135989010983,-0.34833638583638693,0.3565764298926861
377,6,1268.6347150259066,883.6502590673575,-0.24845775762809644,-3.5775764968336214,386,0.556998556998557,6.634715025906644,-1.3497409326424759,6.770616224557553,0.14504224237190358,-0.029506836499711902,0.1480131935757443
377,9,1259.9088639201,869.6267166042447,-0.4392145581911478,-3.271006276876128,801,0.3907317073170732,-2.091136079900025,-15.373283395755266,15.514853930052457,-0.04571455819114777,-0.3360770564572054,0.3391719456375357
377,10,1264.3416458852869,876.4912718204489,-0.3423090191188674,-3.4210730811859245,401,0.5696022727272727,2.34164588528688,-8.508728179551099,8.82506434455681,0.05119098088113263,-0.18601025214740874,0.1929257121990614
377,3,1264.0075376884422,875.5979899497487,-0.34961299553322195,-3.401544946957006,398,0.5852941176470589,2.0075376884421985,-9.402010050251306,9.613948229293854,0.04388700446677806,-0.20553838637632715,0.21017159045706282
377,1,1260.7663817663818,872.048433048433,-0.4204682652738211,-3.323947689142133,351,0.4517374517374517,-1.2336182336182446,-12.951566951566974,13.010184489362064,-0.02696826527382107,-0.28313564419120024,0.2844170886979985
377,7,1269.923611111111,872.8032407407408,-0.220281057098766,-3.340448623971194,432,0.5625,7.923611111111086,-12.196759259259238,14.544571133878406,0.17321894290123402,-0.26663470936213945,0.3179604856211752
