electrode_index,repetition_number,centroid_x_px,centroid_y_px,centroid_x_deg,centroid_y_deg,n_pixels,fill_ratio,dx_to_stim_px,dy_to_stim_px,distance_to_stim_px,dx_to_stim_deg,dy_to_stim_deg,distance_to_stim_deg
560,9,1217.7703081232494,811.7563025210084,-1.360410208527854,-2.0058947245564887,357,0.5173913043478261,4.770308123249379,-8.243697478991635,9.52441009805185,0.10428423591659058,-0.1802163865546227,0.20821418742130016
560,3,1217.4792243767313,819.3157894736842,-1.3667736226531246,-2.171153508771929,361,0.573015873015873,4.479224376731281,-0.6842105263158373,4.531180316586963,0.09792082179131996,-0.014957602339182334,0.09905663636538722
560,10,1207.7972602739726,821.668493150685,-1.5784321156773213,-2.2225862252663635,365,0.5632716049382716,-5.202739726027403,1.6684931506849807,5.463732245513719,-0.11373767123287684,0.03647511415525222,0.11944325770053603
560,4,1196.8010033444816,814.5250836120401,-1.8188225102192492,-2.0664233556298774,598,0.14603174603174604,-16.198996655518386,-5.4749163879598655,17.099187176607177,-0.3541280657748047,-0.11968775548123373,0.3738072307774958
560,6,1222.5940803382664,808.2896405919662,-1.2549571881606763,-1.9301096429410387,473,0.46646942800788954,9.594080338266394,-11.71035940803381,15.138655653737413,0.20973725628376813,-0.25600146817007247,0.330947833319204
560,8,1221.0710059171597,798.5473372781065,-1.2882532873109809,-1.7171320677186062,338,0.40969696969696967,8.07100591715971,-21.45266272189349,22.920686603462507,0.17644115713346364,-0.4689790433925049,0.5010716765812498
560,5,1210.6019736842106,806.6266447368421,-1.5171179641812842,-1.8937547057748534,608,0.24836601307189543,-2.398026315789366,-13.373355263157919,13.586653789872322,-0.05242351973683975,-0.29235640533625784,0.2970193481285977
560,7,1214.4442060085837,809.9871244635193,-1.433122496423462,-1.9672185264663804,466,0.5010752688172043,1.4442060085837056,-10.012875536480692,10.116491857570132,0.031571948020982676,-0.2188925846447307,0.2211577525529915
560,2,1201.741022850925,814.3873775843308,-1.7108281948978343,-2.063412948857454,919,0.25499445061043285,-11.258977149075008,-5.612622415669193,12.580385400466294,-0.24613375045338975,-0.1226981622536571,0.27502120306019373
560,1,1215.1133720930231,814.5174418604652,-1.418493782299744,-2.0662562984496136,344,0.5096296296296297,2.1133720930231448,-5.482558139534831,5.875779553127283,0.046200662144700415,-0.11985481266149756,0.12845106967531034
