electrode_index,repetition_number,centroid_x_px,centroid_y_px,centroid_x_deg,centroid_y_deg,n_pixels,fill_ratio,dx_to_stim_px,dy_to_stim_px,distance_to_stim_px,dx_to_stim_deg,dy_to_stim_deg,distance_to_stim_deg
239,3,1276.6896551724137,928.6923076923077,-0.07236781609195557,-4.5622457264957275,377,0.5067204301075269,3.6896551724137225,12.692307692307736,13.217724079717108,0.08065996168582222,0.27746794871794966,0.28895413474270454
239,6,1273.7855477855478,902.3473193473194,-0.13585483035482993,-3.9863150090650104,429,0.4673202614379085,0.7855477855478057,-13.652680652680601,13.675261398871257,0.017172947422947865,-0.2984627687127676,0.2989564089142134
239,9,1274.9101358411704,940.4022988505748,-0.11127008591663688,-4.818239144316732,957,0.33,1.9101358411703586,24.402298850574766,24.476944419687808,0.041757691861140894,0.5334613665389539,0.5350932016192863
239,1,1276.537753222836,893.8563535911602,-0.07568856148966757,-3.8006930632289744,543,0.30660643704121965,3.537753222836045,-22.1436464088398,22.424468202064695,0.0773392162881102,-0.4840847145488034,0.4902237909729143
239,2,1276.7117516629712,898.410199556541,-0.07188476225671271,-3.900245195861049,451,0.6536231884057971,3.71175166297121,-17.589800443459012,17.977157173710207,0.08114301552106506,-0.38453258191672895,0.39300063043638706
239,4,1277.7951219512195,907.8341463414635,-0.04820108401084101,-4.106263143631438,410,0.5694444444444444,4.795121951219471,-8.165853658536548,9.469654719138473,0.10482669376693678,-0.17851463414634067,0.20701717399894387
239,10,1275.7428571428572,909.1342857142857,-0.09306587301587074,-4.134685634920635,350,0.5892255892255892,2.742857142857247,-6.865714285714262,7.393327935320055,0.059961904761907034,-0.15009214285714234,0.16162636347491344
239,8,1275.3378746594005,908.133514986376,-0.10191924008477152,-4.1128076748410525,367,0.5242857142857142,2.3378746594005406,-7.866485013624015,8.206536686851429,0.051108537693006266,-0.171970102936725,0.1794040103486687
239,5,1272.7619047619048,899.4595238095238,-0.15823280423280306,-3.9231845899470903,420,0.6451612903225806,-0.23809523809518396,-16.54047619047617,16.542189756804046,-0.0052050264550252716,-0.3615931878306874,0.3616306482945773
239,7,1271.930174563591,910.4763092269327,-0.1764153505126083,-4.164023760044334,401,0.536096256684492,-1.069825436409019,-5.523690773067301,5.6263386159079145,-0.023387572734830497,-0.1207540177334435,0.12299801363109802
