electrode_index,repetition_number,centroid_x_px,centroid_y_px,centroid_x_deg,centroid_y_deg,n_pixels,fill_ratio,dx_to_stim_px,dy_to_stim_px,distance_to_stim_px,dx_to_stim_deg,dy_to_stim_deg,distance_to_stim_deg
108,3,1263.4418604651162,1007.7558139534884,-0.36197932816537687,-6.290661821705427,430,0.3225806451612903,-0.5581395348838214,-13.244186046511572,13.25594145185517,-0.012201550387599095,-0.28953262273901686,0.2897896089613894
108,7,1246.7922374429224,1016.3995433789954,-0.7259585870116677,-6.479623351090817,438,0.4281524926686217,-17.207762557077558,-4.600456621004582,17.8121108615039,-0.37618080923388997,-0.10057109335362796,0.3893925346667659
108,8,1262.214421252372,1015.1480075901328,-0.38881251317731325,-6.452263388150959,527,0.4826007326007326,-1.7855787476280511,-5.851992409867194,6.11834182022582,-0.039034735399535454,-0.12793105629348558,0.13375375034771445
108,9,1268.2484599589322,1006.728952772074,-0.2569017225644534,-6.268213495322839,487,0.5675990675990676,4.248459958932244,-14.271047227926033,14.890003391683491,0.09287605521332434,-0.31198094912160523,0.3255120185904141
108,5,1266.0703883495146,1011.8446601941747,-0.30451678802588944,-6.38004854368932,412,0.5722222222222222,2.0703883495145874,-9.155339805825292,9.38651984912059,0.045260989751888345,-0.20014590075512514,0.20519975336827515
108,2,1272.1907514450868,1003.1849710982659,-0.17071885035324158,-6.19073811817598,346,0.7456896551724138,8.19075144508679,-17.81502890173408,19.60774500050457,0.1790589274245362,-0.3894563262684645,0.4286470920943638
108,4,1263.5854800936768,1011.3723653395784,-0.3588396435076771,-6.369723653395784,427,0.5083333333333333,-0.4145199063232212,-9.627634660421563,9.6365541511107,-0.009061865729899308,-0.2104707910486603,0.21066578102567002
108,10,1266.458695652174,1016.945652173913,-0.29602795893719835,-6.491561896135265,460,0.610079575596817,2.458695652173901,-4.054347826086996,4.741615822155481,0.05374981884057945,-0.0886325483091796,0.10365699033434342
108,1,1273.1538461538462,973.3112426035503,-0.14966452991452917,-5.537665220249837,845,0.14013266998341625,9.153846153846189,-47.68875739644966,48.55935009270323,0.20011324786324863,-1.0425292241946078,1.0615613478599288
108,6,1260.0,1006.6094420600858,-0.43722222222222223,-6.2656008583690985,466,0.6427586206896552,-4.0,-14.390557939914174,14.936135973605317,-0.08744444444444445,-0.314593586075346,0.3265205280896496
